session_id,session_label,session_mode,session_start,session_end,event_type,timestamp,direction,directionMode,lat,lng,gps_accuracy_m
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,gps_track,2026-06-14T18:54:07.999Z,,,54.59560861078375,-5.709275745386233,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:11.786Z,against,both,54.59557682001628,-5.7093027598466985,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:18.129Z,against,both,54.59550048318207,-5.709372806770394,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:28.964Z,against,both,54.59538626062186,-5.709436854739454,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,gps_track,2026-06-14T18:54:28.999Z,,,54.59537589793223,-5.709444418069383,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:29.781Z,with,both,54.59537589793223,-5.709444418069383,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:31.035Z,with,both,54.595364513163396,-5.709447455231293,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:32.279Z,with,both,54.59534232549032,-5.709461330385699,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:35.563Z,with,both,54.59530764413263,-5.7094876442202125,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:37.178Z,with,both,54.595283651188936,-5.7095088575704525,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:38.447Z,with,both,54.595274980284394,-5.709522922705162,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:39.080Z,against,both,54.595265605915245,-5.709535873818024,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:40.284Z,against,both,54.595255788062005,-5.709548535044906,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:45.130Z,against,both,54.595207923339274,-5.709599302291409,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,gps_track,2026-06-14T18:54:48.999Z,,,54.59517424369396,-5.709642530960647,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:56.665Z,against,both,54.595115008221974,-5.709694347022449,6
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:57.865Z,against,both,54.5951068684344,-5.709706826606702,6
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:54:58.482Z,with,both,54.595097808911156,-5.709717825309749,6
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:55:01.983Z,against,both,54.59507312709559,-5.709739942830141,6
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,gps_track,2026-06-14T18:55:09.999Z,,,54.59499647452204,-5.709818922638345,6
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:55:18.349Z,against,both,54.59494271187891,-5.709947665842056,6
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,gps_track,2026-06-14T18:55:30.998Z,,,54.59481230171268,-5.7100850338337334,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:55:31.482Z,with,both,54.59481230171268,-5.7100850338337334,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:55:35.168Z,with,both,54.594777765200675,-5.7101164173678045,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:55:36.951Z,against,both,54.594768128899524,-5.71012465051095,5
ddb4802a,"14/06/2026, 19:54:05",dual,2026-06-14T18:54:08.368Z,2026-06-14T18:55:40.908Z,car,2026-06-14T18:55:37.767Z,with,both,54.59475881023221,-5.710134908986207,5
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,gps_track,2026-06-14T18:55:47.999Z,,,54.594662044430294,-5.710231596152204,5
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:55:55.239Z,with,both,54.594587182633894,-5.710298148904491,5
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:55:56.868Z,with,both,54.59457412257786,-5.710303627972353,5
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:01.189Z,against,both,54.59451368435941,-5.710335437071098,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:03.922Z,with,both,54.59449367177382,-5.710349309881252,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,gps_track,2026-06-14T18:56:08.999Z,,,54.59443408889247,-5.71039816185984,5
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:21.773Z,with,both,54.594295015740116,-5.71051298338308,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:24.537Z,against,both,54.59425975094505,-5.710542269929421,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:26.290Z,with,both,54.59424123755802,-5.71055830143443,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:28.321Z,against,both,54.59422140366726,-5.710576012467435,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,gps_track,2026-06-14T18:56:29.999Z,,,54.59420105261176,-5.71060146785955,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:30.370Z,against,both,54.59420105261176,-5.71060146785955,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:31.653Z,against,both,54.59419062323846,-5.710608143030567,6
d1062f62,"14/06/2026, 19:55:46",dual,2026-06-14T18:55:48.171Z,2026-06-14T18:58:10.398Z,car,2026-06-14T18:56:40.203Z,against,both,54.5941135549639,-5.710700645075483,6
