session_id,session_label,session_mode,session_start,session_end,event_type,timestamp,direction,directionMode,lat,lng,gps_accuracy_m
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:09:25.999Z,,,54.60024982833109,-5.72523888288028,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:09:46.999Z,,,54.600399036574736,-5.7254623724868425,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:10:07.999Z,,,54.600508729648,-5.7257057111899385,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:10:27.999Z,,,54.60063880521174,-5.725945608355444,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:10:28.884Z,against,both,54.60063880521174,-5.725945608355444,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:10:43.318Z,with,both,54.60071176257636,-5.726173065979773,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:10:47.614Z,with,both,54.600728336592006,-5.726229839217009,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:10:48.998Z,,,54.60073575508645,-5.726259422775146,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:10:55.097Z,against,both,54.60076485490319,-5.726351339431048,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:10:57.382Z,with,both,54.6007734530701,-5.72637194529004,7
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:11:07.281Z,against,both,54.60081859021136,-5.726530880438097,6
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,car,2026-06-23T21:11:07.882Z,against,both,54.60081859021136,-5.726530880438097,6
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:11:09.000Z,,,54.60082271015481,-5.726565539605511,6
02dc1ac4,"23/06/2026, 22:09:25",dual,2026-06-23T21:09:26.362Z,2026-06-23T21:13:21.793Z,gps_track,2026-06-23T21:11:29.999Z,,,54.60085946452583,-5.726926109253662,6
