session_id,session_label,session_mode,session_start,session_end,event_type,timestamp,direction,directionMode,lat,lng,gps_accuracy_m
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:20:33.999Z,,,54.59605012908202,-5.713630335466493,6
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:20:54.999Z,,,54.596255370741204,-5.7138278420527655,6
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:21:15.999Z,,,54.59642942711485,-5.71356672122399,5
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:21:36.999Z,,,54.596570539340995,-5.71326588271392,5
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:21:56.998Z,,,54.59668307767558,-5.712975482142451,5
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:22:17.998Z,,,54.596814521797235,-5.712637130251395,7
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:22:37.999Z,,,54.596805094473375,-5.7121813709678655,7
3dc59f7f,"13/06/2026, 16:20:30",dual,2026-06-13T15:20:34.191Z,2026-06-13T15:23:11.127Z,gps_track,2026-06-13T15:22:58.999Z,,,54.596724599673834,-5.711725737518077,8
8611420e,"13/06/2026, 16:23:30",dual,2026-06-13T15:23:32.182Z,2026-06-13T15:25:15.054Z,gps_track,2026-06-13T15:23:31.999Z,,,54.59688700065202,-5.711056829112381,9
8611420e,"13/06/2026, 16:23:30",dual,2026-06-13T15:23:32.182Z,2026-06-13T15:25:15.054Z,car,2026-06-13T15:23:32.804Z,against,both,54.59688700065202,-5.711056829112381,9
